lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
5,1,pet_higiene_acessorios,7898746120044,simple,Areia Natural Cats Milho E Mandioca 4Kg Tiger Cats,Areia Natural Cats Milho E Mandioca 4Kg - Tiger Cats,"65,00",7,,Tiger Cats,Pets > Gatos > Areias & Higiene,,Marca: Tiger Cats,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/br-11134207-820ll-mmja0cqhz01ya6.jpg,ok,,sem GTIN/EAN no campo Woo
5,2,pet_higiene_acessorios,7898229167290,variation,Comedouro C?o N4,Comedouro C?o - N4,"49,99",7,,Produtos Holanda,Pets > Cães > Acessórios Cães,Comedouro C?o,Opc?o: N4,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,3,pet_higiene_acessorios,7896183315467,variation,Tapete Hig Sanol Dog 14Un,Tapete Hig Sanol Dog - 14Un,"45,00",6,,Sanol,Pets > Gatos > Areias & Higiene,Tapete Hig Sanol Dog,Opc?o: 14Un,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-tapete-hig-sanol-dog-areias-tapet__tapete-hig-sanol-dog.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,4,pet_higiene_acessorios,7898144561029,variation,Areia Progato Vida Comfort 4Kg,Areia Progato Vida Comfort - 4Kg,"52,90",5,,Progato,Pets > Gatos > Areias & Higiene,Areia Progato Vida Comfort,Opc?o: 4Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,5,pet_higiene_acessorios,7898586935822,variation,Tapete Hig Pups 30Un / 55X60Cm,Tapete Hig Pups - 30Un / 55X60Cm,"69,90",4,,Pups,Pets > Gatos > Areias & Higiene,Tapete Hig Pups,Opc?o: 30Un / 55X60Cm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/a39d52cbc2.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,6,pet_higiene_acessorios,7897186078199,simple,Tapete Gel Refrescante 40X50Cm Western,Tapete Gel Refrescante 40X50Cm - Western,"72,00",2,,Western,Pets > Gatos > Areias & Higiene,,Marca: Western,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/D_NQ_NP_932659-MLB40305689609_012020-O.webp,ok,,sem GTIN/EAN no campo Woo
5,7,pet_higiene_acessorios,7893095814514,simple,Maquina De Tosa B-Max,Maquina De Tosa B-Max,"135,00",1,,B Max,Pets > Cães > Higiene Cães,,Marca: B-Max,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/D_NQ_NP_994786-MLB81945241908_022025-O.webp,ok,,sem GTIN/EAN no campo Woo
5,8,pet_higiene_acessorios,7896006227205,simple,Cloresten Shampoo 200Ml Agener União,Cloresten Shampoo 200Ml - Agener União,"129,90",1,,Agener União,Pets > Cães > Higiene Cães,,Marca: Agener União,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896006227205__cloresten-shampoo-200ml-agener-uniao.jpg,ok,,sem GTIN/EAN no campo Woo
5,9,pet_higiene_acessorios,7896183307431,simple,Kit Shampoo Condicionador 1 Colonia Sanol Dog,Kit Shampoo Condicionador 1 Colonia Sanol Dog,"65,00",1,,Sanol,Pets > Cães > Higiene Cães,,Marca: Sanol,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896183307431__kit-shampoo-condicionador-1-colonia-sanol-dog.jpg,ok,,sem GTIN/EAN no campo Woo
5,10,pet_higiene_acessorios,7908169018146,simple,Cama Suspensa Com Ventosas -Cb2204 Fluffié,Cama Suspensa Com Ventosas -Cb2204 - Fluffié,"59,90",1,,Fluffié,Pets > Cães > Acessórios Cães,,Marca: Fluffié,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7908169018146__cama-suspensa-com-ventosas-cb2204-fluffie.jpg,ok,,sem GTIN/EAN no campo Woo
